epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2428702861070633,0.0005000000237487257,3.4127650260925293,0.12385321408510208,3.3487954139709473
1,0.4333026707172394,0.0005000000237487257,3.0009536743164062,0.1513761430978775,3.163649320602417
2,0.5528978705406189,0.0005000000237487257,2.4593591690063477,0.12385321408510208,3.0299172401428223
3,0.6430543065071106,0.0005000000237487257,2.0298330783843994,0.1444954127073288,2.9028594493865967
4,0.6623734831809998,0.0005000000237487257,1.794910192489624,0.1582568734884262,2.8035733699798584
5,0.6954922080039978,0.0005000000237487257,1.6183329820632935,0.18807339668273926,2.6610867977142334
6,0.7368904948234558,0.0005000000237487257,1.4818962812423706,0.17201834917068481,2.686919689178467
7,0.7267709374427795,0.0005000000237487257,1.4025332927703857,0.20183485746383667,2.564324378967285
8,0.7470101118087769,0.0005000000237487257,1.2816877365112305,0.27293577790260315,2.3183557987213135
9,0.7571297287940979,0.0005000000237487257,1.2009111642837524,0.35321101546287537,2.100944757461548
10,0.747930109500885,0.0005000000237487257,1.1776933670043945,0.4197247624397278,2.0603437423706055
11,0.7580496668815613,0.0005000000237487257,1.1034824848175049,0.4288990795612335,1.9359149932861328
12,0.7552897930145264,0.0005000000237487257,1.0715773105621338,0.5435779690742493,1.5609256029129028
13,0.7764489650726318,0.0005000000237487257,1.0070242881774902,0.6674311757087708,1.3194611072540283
14,0.7709291577339172,0.0005000000237487257,0.9926413893699646,0.6926605701446533,1.259017825126648
15,0.7847285866737366,0.0005000000237487257,0.9588567018508911,0.7614678740501404,1.1168761253356934
16,0.7920883297920227,0.0005000000237487257,0.9050544500350952,0.7431192398071289,1.1111854314804077
17,0.8150873780250549,0.0005000000237487257,0.8717453479766846,0.8050458431243896,0.9457669854164124
18,0.8150873780250549,0.0005000000237487257,0.842886209487915,0.786697268486023,0.9084516167640686
19,0.7985280752182007,0.0005000000237487257,0.8517557382583618,0.8027523159980774,0.9092100858688354
