epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.23643054068088531,0.0005000000237487257,3.417278289794922,0.12614679336547852,3.3537731170654297
1,0.3854645788669586,0.0005000000237487257,3.026825428009033,0.12614679336547852,3.173680067062378
2,0.4829806685447693,0.0005000000237487257,2.6102652549743652,0.12614679336547852,3.086219072341919
3,0.5768169164657593,0.0005000000237487257,2.169999122619629,0.12614679336547852,3.114053726196289
4,0.6283348798751831,0.0005000000237487257,1.8570934534072876,0.12614679336547852,3.1658239364624023
5,0.6789328455924988,0.0005000000237487257,1.669554352760315,0.12614679336547852,3.2312350273132324
6,0.7166513204574585,0.0005000000237487257,1.5175631046295166,0.12614679336547852,3.371830463409424
7,0.7000920176506042,0.0005000000237487257,1.4250118732452393,0.1444954127073288,3.2520949840545654
8,0.7267709374427795,0.0002500000118743628,1.357103705406189,0.17660550773143768,3.1302175521850586
9,0.7497699856758118,0.0002500000118743628,1.2961114645004272,0.2110091745853424,2.8683507442474365
10,0.735050618648529,0.0002500000118743628,1.2554210424423218,0.24082568287849426,2.660144567489624
11,0.7626494765281677,0.0002500000118743628,1.211641550064087,0.28669723868370056,2.499976396560669
12,0.7580496668815613,0.0002500000118743628,1.2061833143234253,0.3899082541465759,2.158655881881714
13,0.7580496668815613,0.0002500000118743628,1.162994384765625,0.43119266629219055,1.9975942373275757
14,0.7562097311019897,0.0002500000118743628,1.1267296075820923,0.5206422209739685,1.7294946908950806
15,0.7727690935134888,0.0002500000118743628,1.093840479850769,0.53899085521698,1.5997686386108398
16,0.7755289673805237,0.0002500000118743628,1.0511471033096313,0.5665137767791748,1.5031613111495972
17,0.7782888412475586,0.0002500000118743628,1.032068133354187,0.6330274939537048,1.421276569366455
18,0.7792088389396667,0.0002500000118743628,1.0194166898727417,0.6972476840019226,1.2211124897003174
19,0.7865685224533081,0.0002500000118743628,1.0068808794021606,0.6995412707328796,1.239079475402832
